registry_id,pws_name,fac_state,county_served,latitude,longitude,pwsid,source_water_type,owner_type,population_served,system_size_category,GEOID,county_fips,tract_name,total_population,median_household_income,poverty_rate,pct_white,pct_black,pct_hispanic,pct_nonwhite,health_violations_2000_2005,health_violations_2020_2025,violation_change,had_violations_historical,had_violations_recent
110049427429,MIRROR LAKE RETREAT-TREATMENT PLANT: CHLORINATION,NY,DUTCHESS,41.956001,-73.758959,NY1322740,GW,P,450.0,Very Small,36027090000,36027,Census Tract 900; Dutchess County; New York,2427.0,84850.0,12.35,84.63,2.6,5.48,15.37,0,0,0,0,0
110013072986,AURORA WD #9,NY,ERIE,42.752759,-78.778192,NY1420551,SWP,L,49.0,Very Small,36029013501,36029,Census Tract 135.01; Erie County; New York,7037.0,98929.0,7.08,95.37,1.9,0.84,4.63,0,0,0,0,0
110049606538,GOLD MTN / TALMUD TORAH OHR MOSHE-CHLORINATION,NY,ULSTER,40.62333,-73.98634,NY5506880,GW,P,25.0,Very Small,36047047000,36047,Census Tract 470; Kings County; New York,2662.0,69545.0,16.08,92.11,0.11,2.18,7.89,0,0,0,0,0
110049465618,ANDRES BLUE RIBBON B B Q-TREATMENT PLANT (CHLORINATION),NY,OTSEGO,42.16769,-75.61268,NY3807141,GW,P,25.0,Very Small,36007012300,36007,Census Tract 123; Broome County; New York,4856.0,67250.0,11.04,96.73,0.08,1.28,3.27,0,0,0,0,0
110049672984,FLC - WH WALKER & SON,NY,,42.913397,-75.596272,NY5530178,GW,P,24.0,Very Small,36053030701,36053,Census Tract 307.01; Madison County; New York,4203.0,48899.0,9.97,88.41,3.66,4.21,11.59,0,0,0,0,0
110049329918,MOHAWK COMMERCE CENTER,NY,FULTON,43.115609,-74.423678,NY1702604,GW,P,25.0,Very Small,36035970400,36035,Census Tract 9704; Fulton County; New York,1650.0,54583.0,7.65,93.03,0.0,2.12,6.97,0,0,0,0,0
110049534535,INTERNATIONAL BAPTIST CHURCH,NY,,42.913397,-75.596272,NY5121238,GW,P,60.0,Very Small,36053030701,36053,Census Tract 307.01; Madison County; New York,4203.0,48899.0,9.97,88.41,3.66,4.21,11.59,0,0,0,0,0
110012916103,TOP OF THE WORLD-TREATMENT PLANT (CHLORINATION),NY,WARREN,43.31116,-73.645287,NY5621848,GW,P,132.0,Very Small,36113070400,36113,Census Tract 704; Warren County; New York,3826.0,62604.0,9.28,90.88,1.23,3.79,9.12,0,0,0,0,0
110049180694,CENTER FOR ADDICTION RECOV. (INACTIVE),NY,ONEIDA,43.242727,-75.434282,NY3208360,GW,P,10.0,Very Small,36065022701,36065,Census Tract 227.01; Oneida County; New York,2384.0,71853.0,6.35,85.4,4.78,1.8,14.6,0,0,0,0,0
110051439699,GREENS LONG RIVER INN,NY,DELAWARE,42.193987,-74.966728,NY1219283,GW,P,40.0,Very Small,36025970700,36025,Census Tract 9707; Delaware County; New York,2322.0,67917.0,8.96,94.83,0.17,3.23,5.17,0,0,0,0,0
110051459872,VIEW HILL CO-OP ASSOCIATION-TREATMENT SHED FOR WELL 2,NY,DUTCHESS,40.969635,-73.845691,NY1312423,GW,P,66.0,Very Small,36119002000,36119,Census Tract 20; Westchester County; New York,4292.0,128250.0,3.18,48.32,9.67,23.14,51.68,0,0,0,0,0
110049490840,COLEMANS CORNER TAP,NY,,42.913397,-75.596272,NY2609970,GW,P,25.0,Very Small,36053030701,36053,Census Tract 307.01; Madison County; New York,4203.0,48899.0,9.97,88.41,3.66,4.21,11.59,1,0,-1,1,0
